Title,Body,Priority,Size,Sprint,Epic,Type,Labels,Dependencies,Acceptance Criteria
"[메인서버] 기본 FastAPI 앱과 헬스체크 만들기","사용자-facing FastAPI main-server 골격을 만들고 앱 구조, 설정 로딩, GET /health를 추가한다.","P0","S","스프린트 0","E0. 레포 실행 골격","작업","백엔드;메인서버;초기설정","","services/main-server에서 GET /health가 정상 응답한다."
"[에이전트워커] 기본 FastAPI 앱과 헬스체크 만들기","내부 분석용 FastAPI agent-worker 골격을 만들고 앱 구조, 설정 로딩, GET /health를 추가한다.","P0","S","스프린트 0","E0. 레포 실행 골격","작업","백엔드;에이전트워커;초기설정","","services/agent-worker에서 GET /health가 정상 응답한다."
"[웹] 기본 Next.js 앱 쉘 만들기","Next.js web 골격을 만들고 기본 레이아웃, API 클라이언트 자리, 대시보드 route 자리를 준비한다.","P0","M","스프린트 0","E0. 레포 실행 골격","작업","프론트엔드;웹;초기설정","","Signal Alpha 초기 화면이 렌더링된다."
"[인프라] Docker Compose와 환경 변수 예시 추가","postgres, pgvector, main-server, agent-worker, web 설정을 위한 docker-compose.yml과 .env.example을 추가한다.","P1","M","스프린트 1","E0. 레포 실행 골격","작업","인프라;도커;초기설정","[메인서버] 기본 FastAPI 앱과 헬스체크 만들기; [에이전트워커] 기본 FastAPI 앱과 헬스체크 만들기","문서화된 로컬 명령으로 서비스들을 실행할 수 있다."
"[공통] 시그널 도메인 스키마 정의","SourceType, Direction, EvidenceItem, RawEvidence, SourceResult, AggregatedSignal, AnalysisJobStatus 계약을 정의한다.","P0","M","스프린트 0","E1. 공유 도메인 타입","작업","스키마;도메인;백엔드;프론트엔드","","main-server, agent-worker, web이 같은 필드명을 사용한다."
"[안전장치] 투자 추천 금지 문구 필터 정의","투자 추천으로 오해될 수 있는 금지 표현 상수와 안전한 표현 helper를 추가한다.","P0","S","스프린트 0","E1. 공유 도메인 타입","작업","안전장치;컴플라이언스;스키마","[공통] 시그널 도메인 스키마 정의","confidence, 매수/매도 추천, 수익률 보장 표현을 코드와 응답에서 피한다."
"[DB] Postgres pgvector와 마이그레이션 구성","PostgreSQL + pgvector와 반복 가능한 로컬 DB 생성을 위한 마이그레이션 도구를 구성한다.","P0","M","스프린트 1","E2. 데이터베이스와 저장 계층","작업","데이터베이스;인프라;마이그레이션","[인프라] Docker Compose와 환경 변수 예시 추가","DB가 로컬에서 실행되고 마이그레이션 명령을 실행할 수 있다."
"[DB] 사용자·종목·관심목록·분석작업 테이블 만들기","users, stocks, watchlists, analysis_jobs 테이블과 삼성전자, SK하이닉스, 네이버 MVP seed 데이터를 만든다.","P0","M","스프린트 1","E2. 데이터베이스와 저장 계층","작업","데이터베이스;메인서버","[DB] Postgres pgvector와 마이그레이션 구성","MVP 종목 seed 데이터가 있고 watchlists가 stocks를 참조할 수 있다."
"[DB] 수집·분석·스냅샷·저널·RAG 테이블 만들기","raw_evidence, source_results, signal_snapshots, signal_journals, report_chunks 테이블을 수집/분석 경계에 맞게 만든다.","P0","L","스프린트 1","E2. 데이터베이스와 저장 계층","작업","데이터베이스;에이전트워커;RAG","[DB] Postgres pgvector와 마이그레이션 구성","수집 데이터, 분석 데이터, 통합 결과, 저널 데이터가 분리 저장된다."
"[API] 관심 종목 등록·조회·삭제 구현","main-server에 관심 종목 등록, 조회, 삭제 API를 구현한다.","P0","M","스프린트 1","E3. Main Server API","작업","백엔드;메인서버;API","[DB] 사용자·종목·관심목록·분석작업 테이블 만들기","프론트엔드가 main-server를 통해 관심 종목을 추가, 조회, 삭제할 수 있다."
"[API] 시그널 실행·최신·상세 조회 구현","POST /api/signals/run/{stockCode}, GET /api/signals/latest, GET /api/signals/{signalId}를 구현한다.","P0","L","스프린트 1","E3. Main Server API","작업","백엔드;메인서버;API","[DB] 수집·분석·스냅샷·저널·RAG 테이블 만들기","시그널 실행이 job 생성, worker 호출, snapshot 저장까지 완료하고 최신/상세 API가 결과를 반환한다."
"[API] Signal Journal 작성·조회 구현","Signal Journal 작성과 목록 조회를 위한 POST /api/journals, GET /api/journals를 구현한다.","P0","M","스프린트 1","E3. Main Server API","작업","백엔드;메인서버;저널","[DB] 수집·분석·스냅샷·저널·RAG 테이블 만들기","특정 signal snapshot에 연결된 journal을 작성하고 다시 조회할 수 있다."
"[메인서버] 에이전트워커 호출과 fallback 처리 구현","main-server에서 agent-worker를 호출하는 클라이언트를 만들고 timeout, 실패 처리, fallback snapshot 경로를 추가한다.","P0","M","스프린트 1","E3. Main Server API","작업","백엔드;회복성;메인서버","[에이전트워커] 기본 FastAPI 앱과 헬스체크 만들기; [API] 시그널 실행·최신·상세 조회 구현","worker 실패가 대시보드 데모 플로우를 깨지 않는다."
"[워커] Collector·Analyzer·Orchestrator 구조 분리","collectors, analyzers, orchestrator, schemas, prompts 디렉터리를 만들고 RawEvidence와 SourceResult 경계를 명확히 한다.","P0","M","스프린트 0","E4. Agent Worker Pipeline","작업","에이전트워커;아키텍처;스키마","[공통] 시그널 도메인 스키마 정의","Collector는 direction, score, summary를 만들지 않고 Analyzer는 외부 API를 직접 호출하지 않는다."
"[수집] MVP mock RawEvidence fixture 만들기","DART, Report, Alternative mock collector를 만들고 MVP 종목용 RawEvidence fixture를 생성한다.","P0","M","스프린트 0","E4. Agent Worker Pipeline","작업","에이전트워커;수집기;fixture","[워커] Collector·Analyzer·Orchestrator 구조 분리","각 source가 외부 API 없이 결정적인 raw evidence를 만들 수 있다."
"[분석] MVP mock SourceResult fixture 만들기","DART, Report, Alternative mock analyzer를 만들고 RawEvidence를 읽어 SourceResult fixture를 생성한다.","P0","M","스프린트 0","E4. Agent Worker Pipeline","작업","에이전트워커;분석기;fixture","[수집] MVP mock RawEvidence fixture 만들기","각 source가 저장 또는 fixture RawEvidence로 결정적인 SourceResult를 만들 수 있다."
"[워커] 수집→분석→통합 파이프라인 구현","POST /agents/analyze에서 수집 fan-out, 분석 fan-out, aggregation을 실행하고 partial 실패를 처리한다.","P0","L","스프린트 1","E4. Agent Worker Pipeline","작업","에이전트워커;오케스트레이션;API","[수집] MVP mock RawEvidence fixture 만들기; [분석] MVP mock SourceResult fixture 만들기","POST /agents/analyze가 raw_evidence_ids, agent_results, aggregation을 반환한다."
"[DART 수집] OpenDART 공시 raw evidence 저장","OpenDART stock_code to corp_code 매핑, 공시 목록 조회, rcept_no 중복 방지, 정정 metadata, raw_evidence 저장을 구현한다.","P1","L","스프린트 2","E5. DART Collector + Analyzer","작업","에이전트워커;수집기;DART","[DB] 수집·분석·스냅샷·저널·RAG 테이블 만들기","MVP 종목 중 최소 1개가 실제 DART 데이터를 가져오거나 raw fixture로 fallback 된다."
"[DART 분석] 공시 유형 분류와 방향성 결과 생성","고임팩트 공시 유형 분류, 공식 데이터 기준 방향성 산출, DART SourceResult 생성을 구현한다.","P1","M","스프린트 2","E5. DART Collector + Analyzer","작업","에이전트워커;분석기;DART","[DART 수집] OpenDART 공시 raw evidence 저장","DART Analyzer가 OpenDART를 직접 호출하지 않고 raw_evidence만으로 SourceResult를 만든다."
"[리포트 수집] PDF 파싱·임베딩·pgvector 인덱싱","리포트 메타데이터 수집, 로컬 PDF 위치, PyMuPDF 추출, chunking, embedding, pgvector 저장, raw_evidence 저장을 구현한다.","P1","XL","스프린트 2","E6. Report Collector + Analyzer","작업","에이전트워커;수집기;RAG;리포트","[DB] 수집·분석·스냅샷·저널·RAG 테이블 만들기","로컬 PDF 1개 이상이 chunking 되고 pgvector로 검색 가능하다."
"[리포트 분석] RAG 기반 의견·목표주가·충돌 분석","Top-K 검색, 의견/목표주가/근거 추출, 목표주가 gap conflict 감지, 트렌드 계산, Report SourceResult 생성을 구현한다.","P1","L","스프린트 2","E6. Report Collector + Analyzer","작업","에이전트워커;분석기;RAG;리포트","[리포트 수집] PDF 파싱·임베딩·pgvector 인덱싱","Report Analyzer가 PDF 원문 전문을 노출하지 않고 요약 JSON과 메타데이터 링크만 반환한다."
"[대체데이터 수집] 첫 source 연결과 raw evidence 저장","DataLab 또는 KIPRIS 중 하나를 선택해 API/크롤링 접근성을 검증하고 time-series/count/keyword/URL raw_evidence와 fixture를 저장한다.","P1","L","스프린트 2","E7. Alternative Collector + Analyzer","작업","에이전트워커;수집기;Alternative","[DB] 수집·분석·스냅샷·저널·RAG 테이블 만들기","최소 1개 Alternative source가 실제 또는 fixture RawEvidence를 만들고 partial fallback을 지원한다."
"[대체데이터 분석] 변화율 계산과 신호 요약 생성","전월 대비 변화율, signal type 정규화, 변화 흔적 중심 summary, Alternative SourceResult 생성을 구현한다.","P1","M","스프린트 2","E7. Alternative Collector + Analyzer","작업","에이전트워커;분석기;Alternative","[대체데이터 수집] 첫 source 연결과 raw evidence 저장","Alternative Analyzer가 외부 수집 없이 저장된 raw data만 해석한다."
"[통합] Debate Aggregation으로 최종 시그널 생성","source_agreement, consensus_score, alignment_rate, 긍정/주의 근거 분리, needs_review, fallback summary를 구현한다.","P0","L","스프린트 1","E8. Debate Aggregation","작업","에이전트워커;통합","[분석] MVP mock SourceResult fixture 만들기","AggregatedSignal이 source_results만 입력으로 생성되고 충돌 케이스에서 주의 근거를 표시한다."
"[안전장치] Worker 출력 검증과 금지 표현 필터 적용","worker 결과를 저장/응답하기 전에 Pydantic/JSON validation과 금지 표현 필터를 적용한다.","P0","M","스프린트 1","E8. Debate Aggregation","작업","에이전트워커;안전장치;검증","[안전장치] 투자 추천 금지 문구 필터 정의; [통합] Debate Aggregation으로 최종 시그널 생성","잘못되거나 위험한 출력은 차단, 수정, 또는 안전 fallback으로 대체된다."
"[웹] 랜딩과 관심종목 대시보드 카드 구현","랜딩 문구, 추천 아님 고지, watchlist dashboard, 종목 카드, source direction badge, 분석 실행 버튼을 구현한다.","P0","L","스프린트 1","E9. Web Dashboard","작업","프론트엔드;웹;대시보드","[웹] 기본 Next.js 앱 쉘 만들기; [API] 시그널 실행·최신·상세 조회 구현","MVP seed 종목 카드가 표시되고 분석 실행 후 갱신된다."
